Joe Paterno | The will to win is important, but the will to prepare is vital.
William A. Ward | Adversity cause some men to break; others to break records.
Satchel Paige | Never let your head hang down. Never give up and sit down and grieve. Find another way.
Venus Williams | Some people say I have attitude – maybe I do…but I think you have to. You have to believe in yourself when no one else does – that makes you a winner right there.
Babe Ruth | Never let the fear of striking out get in your way.
Evander Holyfield | It is not the size of a man but the size of his heart that matters.
Muhammad Ali | I hated every minute of training, but I said, ‘Don’t quit. Suffer now and live the rest of your life as a champion.
Pat Riley | There are only two options regarding commitment. You’re either IN or you’re OUT. There is no such thing as life in-between.
Jack Dempsey | A champion is someone who gets up when he can’t.
Yogi Berra | It ain’t over till it’s over.
Phil Jackson | You’re only as strong as your weakest link.
Mike Ditka | You’re never a loser until you quit trying.
Jim Valvano | Never give up! Failure and rejection are only the first step to succeeding.
Wayne Gretzky | You miss 100 percent of the shots you don’t take.
Wayne Gretzky | The highest compliment that you can pay me is to say that I work hard every day, that I never dog it.
Dan Gable | Gold medals aren’t really made of gold. They’re made of sweat, determination, and a hard-to-find alloy called guts.
Michael Jordan | I’ve missed more than 9,000 shots in my career. I’ve lost almost 300 games. 26 times, I’ve been trusted to take the game winning shot and missed. I’ve failed over and over and over again in my life. And that is why I succeed.
Vince Lombardi | It’s not whether you get knocked down; it’s whether you get up.
